# CIRIS Conformance evidence registry — EDITORIAL CC-claim <-> conformance-test mapping.
# This file is HAND-MAINTAINED (which clause a test establishes is a judgement call).
# The `status` column is NOT here: it is auto-derived by evidence/gen_cc_tests.py from
# the live suite and written to evidence/cc_tests.tsv. Add/adjust rows here; regenerate.
# Multiple test ids / freeze-gate vectors are comma-separated. '-' = no named freeze-gate vector.
# Columns:
cc_decimal_id	cc_claim_id	conformance_test_id(s)	freeze_gate_vector(s)
2.6.4	CC-2.6.4-wire-vocabulary-two-tier	tests/test_520_wire_vocabulary.py	WIRE_VOCABULARY.md
2.6.7	CC-2.6.7-subject-key-ids-lowercase-hex	tests/test_240_reserved_prefix_admission.py::test_subject_key_ids_must_be_lowercase_hex	-
3.2	CC-3.2-steward-binding-admission	tests/test_360_steward_binding_admission.py::test_node_steward_binding_is_admitted_and_resolves,tests/test_360_steward_binding_admission.py::test_adult_target_user_binding_is_rejected,tests/test_360_steward_binding_admission.py::test_adult_target_steward_bind_is_rejected,tests/test_360_steward_binding_admission.py::test_unverified_age_target_is_rejected,tests/test_360_steward_binding_admission.py::test_witness_attestation_graduates_age_bands	-
3.2	CC-3.2-steward-binding-conditional-minor-admit	tests/test_360_steward_binding_admission.py::test_minor_target_user_binding_is_admitted_only_because_minor	-
3.2	CC-3.2-minor-stewardship-node-revocation-fails-secure	tests/test_361_minor_stewardship_liveness.py::test_node_binding_revocation_fails_secure,tests/test_361_minor_stewardship_liveness.py::test_minor_guardianship_binding_is_admitted	-
3.2	CC-3.2-minor-stewardship-steward-less-minor-fails-secure	tests/test_361_minor_stewardship_liveness.py::test_steward_less_minor_fails_secure	-
3.4.2	CC-3.4.2-cohort-membership-change-quorum	tests/test_264_cohort_membership_quorum.py	-
3.4.7	CC-3.4.7-reserved-prefix-admission	tests/test_240_reserved_prefix_admission.py::test_reserved_prefixes_refused_from_agent_key,tests/test_240_reserved_prefix_admission.py::test_non_member_cannot_write_family_scope	-
3.4.11	CC-3.4.11-age-assurance-reservation	tests/test_350_age_assurance_reservation.py::test_agent_refused_on_age_assurance_prefix,tests/test_350_age_assurance_reservation.py::test_agent_admitted_on_age_self_declared_band,tests/test_350_age_assurance_reservation.py::test_witness_key_admitted_on_age_assurance	-
3.4.11	CC-3.4.11-age-self-declared-band-not-level	tests/test_350_age_assurance_reservation.py::test_age_self_declared_rejects_level_token	-
3.4.13	CC-3.4.13-age-band-one-way-ratchet	tests/test_351_age_band_ratchet.py::test_age_band_pre_declaration_is_unknown,tests/test_351_age_band_ratchet.py::test_self_declared_minor_resolves_minor,tests/test_351_age_band_ratchet.py::test_self_declared_adult_cannot_graduate_a_minor,tests/test_351_age_band_ratchet.py::test_witness_assurance_outranks_self	-
3.4.13	CC-3.4.13-age-band-cross-subject-witness-graduation	tests/test_351_age_band_ratchet.py::test_cross_subject_witness_graduation	-
4.4.3.2.8	CC-4.4.3.2.8-affiliations-cohort-scope	tests/test_262_affiliation_cohort_scope.py	-
4.4.3.2.8	CC-4.4.3.2.8-affiliations-membership-lifecycle	tests/test_263_affiliation_membership_lifecycle.py	-
4.5.4	CC-4.5.4-moderator-existence-admission	tests/test_271_moderator_existence_gate.py::test_live_moderator_resolves_for_moderated_capability,tests/test_271_moderator_existence_gate.py::test_moderator_loss_resolves_to_absence,tests/test_271_moderator_existence_gate.py::test_stewardless_community_refused_at_admission,tests/test_271_moderator_existence_gate.py::test_empty_roster_community_resolves_no_moderator	-
4.5.13	CC-4.5.13-moderator-existence-federation-apply-gate	tests/test_271_moderator_existence_gate.py::test_moderator_existence_federation_apply_gate_enforced	-
4.5.13	CC-4.5.13-infohazard-consent-primitive	tests/test_272_infohazard_consent_gate.py::test_consent_to_view_attestation_is_admitted,tests/test_272_infohazard_consent_gate.py::test_content_class_flag_is_substrate_reserved	-
# CC 4.5.13 infohazard consent-gate ENFORCEMENT: now OWNED + implemented in the consumer/fabric tier (CIRISServer absorbed LensCore) — CIRISServer#161 `src/safety/infohazard.rs` (`infohazard_reveal_decision` + flag/consent resolution) exposed as `POST /v1/safety/reveal`. Repointed from the now-closed CIRISPersist#238 (correctly concluded policy-tier, not a persist byte-gate); xfail dropped → green.
4.5.13	CC-4.5.13-infohazard-consent-gate-enforcement	tests/test_272_infohazard_consent_gate.py::test_viewing_flagged_content_requires_consent_enforced	-
# CC 5.3.1 holder-SCOPING (a non-holder MUST NOT receive) is NOT yet gated — edge 8's opaque send has no scope selector (CIRISEdge#265); and strict PER-ROUTE delivery is blocked on the edge delivery-reliability drop (CIRISEdge#276). Only transport bring-up + robust-majority delivery is proven below.
5.3.1	CC-5.3.1-transport-bringup-and-delivery	tests/test_340_transport_delivery_modes.py::test_transport_fabric_stands_up,tests/test_340_transport_delivery_modes.py::test_live_transport_delivers	-
5.4.1	CC-5.4.1-scope-privacy-record-id-vectors	tests/test_500_scope_privacy_vectors.py::test_record_id_golden_vector,tests/test_500_scope_privacy_vectors.py::test_record_id_is_deterministic,tests/test_500_scope_privacy_vectors.py::test_record_id_record_type_int_is_pinned,tests/test_500_scope_privacy_vectors.py::test_record_id_distinct_scopes_unlinkable,tests/test_500_scope_privacy_vectors.py::test_record_id_unknown_type_rejected	record_id/community,record_id/federation,record_id/self
5.4.2	CC-5.4.2-scope-privacy-symbol-key-witness-cover	tests/test_500_scope_privacy_vectors.py::test_exporter_subkeys_shape_and_separation,tests/test_500_scope_privacy_vectors.py::test_symbol_key_diversification,tests/test_500_scope_privacy_vectors.py::test_symbol_key_index_is_big_endian_sensitive,tests/test_500_scope_privacy_vectors.py::test_witness_cover_leaf_diversification	symbol_key,witness_cover_leaf
6.1.2	CC-6.1.2-below-floor-classification	tests/test_540_noise_floor.py::test_tier_descent_crosses_full_partial_envelope,tests/test_540_noise_floor.py::test_classification_boundaries_are_consistent,tests/test_540_noise_floor.py::test_unknown_tier_is_rejected	-
6.1.2	CC-6.1.2-n5-revocation-below-floor	tests/test_540_noise_floor.py::test_hard_delete_drops_to_envelope_only,tests/test_540_noise_floor.py::test_hard_delete_ignores_retention_priority,tests/test_540_noise_floor.py::test_signed_manifest_survives_revocation	-
6.1.2.3	CC-6.1.2.3-ejection-verdict-routing	tests/test_541_ejection_routing.py	AggregationMetaV1,WholenessWitness
6.1.2	CC-6.1.2-aggregation-dominance-gate	tests/test_542_dominance_gate.py	AggregationMetaV1
6.1.5.2	CC-6.1.5.2-storage-contention-budget-want	tests/test_530_storage_contention.py::test_storage_budget_v1_signed_and_anti_rollback,tests/test_530_storage_contention.py::test_corpus_want_v1_roundtrips	StorageBudgetV1,CorpusWantV1
# pin-never-defeats-revocation (B6/N5) is one leg short — no pin-install surface governs eviction (CIRISPersist#370, follow-up to the closed #356).
6.1.5.2	CC-6.1.5.2-pin-never-defeats-revocation	tests/test_530_storage_contention.py::test_pin_never_defeats_revocation	StorageBudgetV1
3.4.8	CC-3.4.8-detection-discriminator	tests/test_550_detection_discriminator.py::test_detection_leaves_refused_from_agent_key,tests/test_550_detection_discriminator.py::test_lenscore_detector_key_admitted_on_detection,tests/test_550_detection_discriminator.py::test_detector_role_is_identity_type_membership_not_roles_kwarg,tests/test_550_detection_discriminator.py::test_truth_grounding_cross_attestation_admitted	-
# novel detection:{newkind}:* subkind not covered by a prefix-wildcard yet (CIRISPersist#379).
3.4.8	CC-3.4.8-detection-wildcard-coverage	tests/test_550_detection_discriminator.py::test_novel_detection_subkind_wildcard_refused_from_agent_key	-
